J0006+1834    cnt96      J0006+1834    cnt96      00:06:04.8       2.0e-01   cn95       +18:34:59        4.0e+00   cn95       0.69374767047        1.4e-10   cn95       12.0       6.0e-01   cn95       *            0  *          *                               *       *          ar4                                              
J0007+7303    aaa+09c    J0007+7303    aaa+09c    00:07:01.7       2.0e-01   awd+12     +73:03:07.4      8.0e-01   awd+12     0.3158731909         3.0e-10   awd+12     *                0  *          *            0  *          NRAD                            *       *          FermiBlind                                       
B0011+47      dth78      J0014+4746    dth78      00:14:17.75      4.0e-02   hlk+04     +47:46:33.4      3.0e-01   hlk+04     1.240699038946       1.1e-11   hlk+04     30.85      7.0e-02   hlk+04     3      1.0e+00   lylg95     *                               *       *          gb1,gb2,gb3                                      
J0023+0923    hrm+11     J0023+0923    hrm+11     00:23:16.89      2.0e-02   bvr+13     +09:23:24.18     2.0e-01   bvr+13     0.00305                    0  hrm+11     14.3             0  hrm+11     *            0  *          HE                              BT      hrm+11     FermiAssoc                                       
B0021-72C     mld+90     J0024-7204C   mld+90     00:23:50.35311   9.0e-05   fck+03     -72:04:31.4926   4.0e-04   fck+03     0.00575677999551320  1.7e-16   fck+03     24.599     2.0e-03   fkl+01     0.6          0  mld+90     *                               *       *          pksgc                                            
B0021-72D     mlr+91     J0024-7204D   mlr+91     00:24:13.87934   7.0e-05   fck+03     -72:04:43.8405   3.0e-04   fck+03     0.00535757328486266  1.8e-16   fck+03     24.729     2.0e-03   fkl+01     *            0  *          *                               *       *          pksgc                                            
B0021-72E     mlr+91     J0024-7204E   mlr+91     00:24:11.1036    1.0e-04   fck+03     -72:05:20.1377   4.0e-04   fck+03     0.00353632915276031  1.3e-16   fck+03     24.230     2.0e-03   fkl+01     *            0  *          *                               ELL1    fck+03     pksgc                                            
B0021-72F     mlr+91     J0024-7204F   mlr+91     00:24:03.8539    1.0e-04   fck+03     -72:04:42.8065   5.0e-04   fck+03     0.00262357935251098  1.4e-16   fck+03     24.379     5.0e-03   fkl+01     *            0  *          *                               *       *          pksgc                                            
B0021-72G     rlm+95     J0024-7204G   rlm+95     00:24:07.9587    3.0e-04   fck+03     -72:04:39.6911   7.0e-04   fck+03     0.0040403791435629   4.0e-16   fck+03     24.441     5.0e-03   fkl+01     *            0  *          *                               *       *          pksgc                                            
B0021-72H     mlr+91     J0024-7204H   mlr+91     00:24:06.7014    3.0e-04   fck+03     -72:04:06.795    1.0e-03   fck+03     0.0032103407093484   5.0e-16   fck+03     24.36      3.0e-02   fkl+01     *            0  *          *                               BT      fck+03     pksgc                                            
B0021-72I     mlr+91     J0024-7204I   mlr+91     00:24:07.9330    3.0e-04   fck+03     -72:04:39.669    1.0e-03   fck+03     0.0034849920616611   5.0e-16   fck+03     24.42      2.0e-02   fkl+01     *            0  *          *                               ELL1    fck+03     pksgc                                            
B0021-72J     mlr+91     J0024-7204J   mlr+91     00:23:59.40735   3.0e-05   fck+03     -72:03:58.7914   1.0e-04   fck+03     0.00210063354535247  3.0e-17   fck+03     24.5848    9.0e-04   fck+03     *            0  *          *                               ELL1    fck+03     pksgc                                            
B0021-72L     rlm+95     J0024-7204L   rlm+95     00:24:03.771     1.0e-03   fck+03     -72:04:56.913    4.0e-03   fck+03     0.0043461679994601   1.4e-15   fck+03     24.38      5.0e-02   fkl+01     *            0  *          *                               *       *          pksgc                                            
B0021-72M     mlr+91     J0024-7204M   mlr+91     00:23:54.4877    8.0e-04   fck+03     -72:05:30.741    3.0e-03   fck+03     0.0036766432175977   1.0e-15   fck+03     24.42      2.0e-02   fkl+01     *            0  *          *                               *       *          pksgc                                            
B0021-72N     rlm+95     J0024-7204N   rlm+95     00:24:09.1865    4.0e-04   fck+03     -72:04:28.880    2.0e-03   fck+03     0.0030539543462594   4.0e-16   fck+03     24.56      3.0e-02   fkl+01     *            0  *          *                               *       *          pksgc                                            
J0024-7204O   clf+00     J0024-7204O   clf+00     00:24:04.6512    1.0e-04   fck+03     -72:04:53.7552   5.0e-04   fck+03     0.0026433432972417   3.0e-16   fck+03     24.363     1.0e-02   fck+03     *            0  *          *                               ELL1    fck+03     pksgc                                            
J0024-7204P   clf+00     J0024-7204P   clf+00     00:24:05.67            0  mam+06     -72:04:52.62           0  mam+06     0.003643021          1.0e-09   clf+00     24.3       1.0e-01   clf+00     *            0  *          *                               BT      clf+00     pksgc                                            
J0024-7204Q   clf+00     J0024-7204Q   clf+00     00:24:16.4891    4.0e-04   fck+03     -72:04:25.153    2.0e-03   fck+03     0.0040331811845700   5.0e-16   fck+03     24.29      2.0e-02   fkl+01     *            0  *          *                               ELL1    fck+03     pksgc                                            
J0024-7204R   clf+00     J0024-7204R   clf+00     00:24:05.67            0  mam+06     -72:04:52.62           0  mam+06     0.003480463          1.0e-09   clf+00     24.4       1.0e-01   clf+00     *            0  *          *                               BT      clf+00     pksgc                                            
J0024-7204S   clf+00     J0024-7204S   clf+00     00:24:03.9779    4.0e-04   fck+03     -72:04:42.342    1.0e-03   fck+03     0.0028304059578772   5.0e-16   fck+03     24.353     9.0e-03   fck+03     *            0  *          *                               ELL1    fck+03     pksgc                                            
J0024-7204T   clf+00     J0024-7204T   clf+00     00:24:08.548     2.0e-03   fck+03     -72:04:38.926    7.0e-03   fck+03     0.007588479807364    5.0e-15   fck+03     24.39      6.0e-02   fkl+01     *            0  *          *                               ELL1    fck+03     pksgc                                            
J0024-7204U   clf+00     J0024-7204U   clf+00     00:24:09.8351    2.0e-04   fck+03     -72:03:59.6760   9.0e-04   fck+03     0.0043428266963896   4.0e-16   fck+03     24.335     4.0e-03   fkl+01     *            0  *          *                               ELL1    fck+03     pksgc                                            
J0024-7204V   clf+00     J0024-7204V   clf+00     00:24:05.67            0  mam+06     -72:04:52.62           0  mam+06     0.004810             1.0e-06   clf+00     24.1       1.0e-01   clf+00     *            0  *          *                               *       *          pksgc                                            
J0024-7204W   clf+00     J0024-7204W   clf+00     00:24:06.07      1.0e-02   egc+02     -72:04:49.02     6.0e-02   egc+02     0.002352344          1.0e-09   clf+00     24.3       1.0e-01   clf+00     *            0  *          *                               BT      egc+02     pksgc                                            
J0024-7204X   fre08      J0024-7204X   fre08      00:24:05.67            0  mam+06     -72:04:52.62           0  mam+06     0.004771                   0  fre08      24.0       2.0e-01   fre08      *            0  *          *                               *       *          pksgc                                            
J0024-7204Y   fre08      J0024-7204Y   fre08      00:24:05.67            0  mam+06     -72:04:52.62           0  mam+06     0.00219666                 0  fre08      24.2       1.0e-01   fre08      *            0  *          *                               BT      fre08      pksgc                                            
J0024-7204Z   fre08      J0024-7204Z   fre08      00:24:05.67            0  mam+06     -72:04:52.62           0  mam+06     0.004554                   0  fre08      24.47      1.0e-02   fre08      *            0  *          *                               *       *          pksgc                                            
J0026+6320    jml+09     J0026+6320    jml+09     00:26:50.561     8.0e-03   jml+09     +63:20:00.87     5.0e-02   jml+09     0.318357731235       1.0e-12   jml+09     230.31           0  jml+09     1.0    3.0e-01   jml+09     *                               *       *          misc                                             
J0030+0451    lzb+00     J0030+0451    lzb+00     00:30:27.4303    5.0e-04   aaa+09e    +04:51:39.74     2.0e-02   aaa+09e    0.0048654532073692   3.0e-16   aaa+09e    4.333      1.0e-03   aaa+09e    0.6    2.0e-01   lzb+00     HE[btlb00,aaa+09e]              *       *          misc                                             
J0033+57      hrk+08     J0033+57      hrk+08     00:33                  0  hrk+08     +57                    0  hrk+08     0.315                      0  hrk+08     76               0  hrk+08     *            0  *          *                               *       *          gb350                                            
J0033+61      hrk+08     J0033+61      hrk+08     00:33                  0  hrk+08     +61                    0  hrk+08     0.912                      0  hrk+08     37               0  hrk+08     *            0  *          *                               *       *          gb350                                            
J0034-0534    bhl+94     J0034-0534    bhl+94     00:34:21.8281    1.3e-03   hlk+04     -05:34:36.62     4.0e-02   hlk+04     0.0018771818845850   2.0e-16   aaa+10b    13.76517   4.0e-05   aaa+10b    0.61   9.0e-02   tbms98     HE[aaa+10b]                     ELL1    hlk+04     pks70                                            
B0031-07      lvw69a     J0034-0721    lvw69a     00:34:08.8703    1.0e-04   cbv+09     -07:21:53.409    2.0e-03   cbv+09     0.9429509945598      1.7e-12   hlk+04     11.38      8.0e-02   hlk+04     11     3.0e+00   lylg95     *                               *       *          mol1,pks70                                       
J0034+69      slr+14     J0034+69      slr+14     00:34            3.0e+00   slr+14     +69:43           1.8e+01   slr+14     0.03680412           1.6e-07   slr+14     80.0       3.0e-01   slr+14     *            0  *          *                               *       *          gbncc                                            
B0037+56      dtws85     J0040+5716    dtws85     00:40:32.362     5.9e-03   hlk+04     +57:16:24.91     5.3e-02   hlk+04     1.1182253452412      1.3e-12   hlk+04     92.595     9.0e-03   hlk+04     0.6          0  lylg95     *                               *       *          gb2,gbncc                                        
J0045-7042    mfl+06     J0045-7042    mfl+06     00:45:25.69      1.7e-01   mfl+06     -70:42:07.1      1.3e+00   mfl+06     0.63233580002        6.0e-11   mfl+06     70         3.0e+00   mfl+06     0.11         0  mfl+06     *                               *       *          misc                                             
